year,quarter,mean_expo,std_expo,mean_risk,std_risk,mean_sent,mean_pos,mean_neg,n_firms,period,cc_balance,Mkt_RF,SMB,HML,RF,Mom,mkt_vol_4q
2001,1,0.000297177,,0.0,,0.000297177,0.000297177,0.0,1,2001.0,0.000297177,-0.13840791812500008,0.059932026710000086,0.1345697130950001,0.013459246184000184,-0.08673264650000012,
2001,2,0.0010979368819444444,0.0012893952903398316,6.405768749999999e-05,0.00019112590151094171,0.0001906242222222222,0.00042181003472222217,-0.00023118581249999997,144,2001.25,0.0006529958472222221,0.0655584387439998,0.0953241739999997,-0.02658979916799986,0.009932394944000222,-0.05449614732999997,
2001,3,0.0005465969696969697,0.0003593001355682221,2.7246666666666668e-05,0.00011593385591999936,0.0001713129090909091,0.0002993715757575758,-0.00012805866666666665,33,2001.5,0.00042743024242424243,-0.16858103968000004,-0.08057291301500003,0.09592433864000016,0.008926406040000057,0.238982298704,0.12736691574309222
2001,4,0.0005868096071428572,0.0006032626029563982,1.690714285714286e-05,6.245439313001205e-05,0.0001427090357142857,0.00028575696428571434,-0.00014304789285714286,28,2001.75,0.0004288048571428572,0.11970911578400001,0.11921915890399992,-0.04512605604099995,0.005409595609999984,-0.1619689072959999,0.144338115811098
2002,1,0.0011172779764705883,0.0018291279328666826,3.564574117647059e-05,0.00011876829615846392,0.00016184469411764706,0.0003594510117647059,-0.0001976063294117647,85,2002.0,0.0005570573411764707,0.0037594828800000535,0.04170528187599998,0.06983100302399992,0.004005332366000314,0.08857969914499986,0.12510978144237872
2002,2,0.0012211508573351279,0.001904887915768833,4.579480753701211e-05,0.0002104794216290927,0.00014851453432032302,0.00040764834051144015,-0.0002591337456258412,743,2002.25,0.0006667820861372814,-0.13259255888800014,0.06535961188799999,0.059816385224000124,0.00420587273000006,0.17956072832000003,0.13222454761711167
2002,3,0.0010464100574282147,0.001692255828198354,3.3215254681647936e-05,0.00013505745418344205,9.38435617977528e-05,0.0003158479213483146,-0.00022200431710362047,801,2002.5,0.0005378522384519351,-0.17271569769999995,-0.05674252600000007,0.006467177973999982,0.00430616294000008,0.15259012475799993,0.1335283861447924
2002,4,0.0010684793005235602,0.0018406384062099946,4.237984188481676e-05,0.0002045030514514261,0.0001214272942408377,0.00036383126073298425,-0.00024240392670157068,955,2002.75,0.000606235187434555,0.07685469593600014,-0.0029073966400000595,-0.028692757024000093,0.0037045418480001757,-0.13423465623200004,0.11649094350628467
2003,1,0.001136101511627907,0.0019982871021550163,4.8301991279069765e-05,0.0001585509967937077,9.099344864341085e-05,0.0003867553343023256,-0.0002957617761627907,1032,2003.0,0.0006825171104651163,-0.033596623556000016,0.020745650168000118,-0.04204117698400012,0.0029028008999998356,0.042587083460000175,0.11147391555184931
2003,2,0.0010948499982030549,0.00182552950917285,4.886436118598383e-05,0.00017328604912249202,0.00010797514555256064,0.00034700529469901167,-0.0002390301293800539,1113,2003.25,0.0005860354240790655,0.16353983438000008,0.07196921612000007,0.020712399559999817,0.0029028008999998356,-0.20090008037500007,0.1452824465414546
2003,3,0.001158305574728261,0.0017795530932499812,4.367571195652174e-05,0.00018550756876376868,0.00010776979755434783,0.00037123368070652175,-0.0002634639599184783,1472,2003.5,0.000634697640625,0.03415831816400017,0.0840395948199999,0.0022502687120000697,0.002201610391999731,-0.008978301130000088,0.0825277124126661
2003,4,0.0012561262693389591,0.002124419528105516,4.928537974683544e-05,0.00018632786905022351,0.0001214748776371308,0.00041819973839662446,-0.0002967248635724332,1422,2003.75,0.0007149246019690576,0.12124348231999993,0.0189730411279998,0.05537928981200002,0.002201610391999731,-0.004159832943999908,0.08828993785380065
2004,1,0.001210557177480916,0.001957962552805065,4.439561577608142e-05,0.00017566658390451227,0.0001280357627226463,0.0004073323905852417,-0.00027929645801526716,1572,2004.0,0.0006866288486005089,0.022128426800000156,0.02676213110600001,0.036307938769999826,0.002201590377999718,0.015625338688999957,0.06836061406414948
2004,2,0.0011971530345294516,0.002008407330256774,4.3342289776574134e-05,0.0001832971858660538,0.00018024137305348682,0.00040300859444820583,-0.00022276715639810428,1477,2004.25,0.0006257757508463101,0.011865918769999872,0.0024996852750001075,-0.02235376650599996,0.0022016003839997467,-0.019313009728000097,0.050098286633195224
2004,3,0.0011480256743341404,0.002044713301255019,4.511097276029056e-05,0.00020801287218414022,0.00012365483777239712,0.00038246053934624697,-0.00025880575242130747,1652,2004.5,0.0006412662917675545,-0.024363932480000017,-0.02370055724799991,0.04282608611999983,0.0032034112100001177,0.015189306559999949,0.06229514798367108
2004,4,0.00122367315964802,0.0022769400939769134,4.9123702074167185e-05,0.00028981931659962,0.00016020140351979888,0.0004156275241986172,-0.0002554261835323696,1591,2004.75,0.0006710537077309868,0.09640015949199987,0.03843699541400025,0.010729143885999992,0.004205812640000195,-0.012898137460000014,0.0506834577758711
2005,1,0.0012401609347079037,0.0021395130609708694,4.279786139747995e-05,0.00018433091626995048,0.00017334546449026346,0.00041413842726231384,-0.00024079295819014892,1746,2005.0,0.0006549313854524628,-0.028438190200000046,-0.03599228414199995,0.05641476252199995,0.005309285376000172,0.06949441570400006,0.05792828915673849
2005,2,0.0013727352290669858,0.0025847048145886025,4.357593241626794e-05,0.00018528551576919015,0.00019670340610047847,0.0004471321339712919,-0.0002504286943779904,1672,2005.25,0.0006975608283492822,0.015302144629999903,0.013473326111999917,0.02254861879999992,0.006815401591999892,0.01751014918800009,0.05791421933810586
2005,3,0.0014235885432525952,0.002537862437661071,4.958387543252595e-05,0.00019451313963377573,0.0002272615738177624,0.0004880037422145329,-0.0002607421972318339,1734,2005.5,0.0007487459394463668,0.031657902079999856,0.011383213957999905,0.013338344744000086,0.008322880879999772,0.05633302486599989,0.05175690731946711
2005,4,0.001400150173178458,0.00247835561576535,5.209915945089757e-05,0.00020557145177609683,0.00016341635269271382,0.00045563057180570223,-0.00029221420327349526,1894,2005.75,0.0007478447750791976,0.012527647456000102,-0.007024899399999951,-0.006162646755000001,0.009026956784000006,-0.0008070755879999725,0.02556712135330478
2006,1,0.0013836276752180604,0.0023571209414373824,4.440526167265265e-05,0.00018224977199539922,0.00022827810312981016,0.0004802210441251924,-0.00025194295844022574,1949,2006.0,0.0007321640025654181,0.04230907377000004,0.08588050114599999,0.012910602790999981,0.010637474030000149,0.01963902814399976,0.014056227301893296
2006,2,0.0015039423756071236,0.002470441697069931,4.9982747436589316e-05,0.00023087258546419746,0.00028860713869400975,0.0005347514150026983,-0.0002461442207231516,1853,2006.25,0.00078089563572585,-0.03195992041999984,-0.04683242383000008,0.05583685197999988,0.011947141920000126,-0.015797303799999884,0.03279812238884332
2006,3,0.0014202440096251266,0.002331255529293608,5.0862901215805475e-05,0.0002232680068336068,0.0002121640770010132,0.000484527984295846,-0.00027236392249240123,1974,2006.5,0.0007568919067882472,0.031072653896000002,-0.042601166349999886,0.006792813459999936,0.012350488880000121,-0.0625920773119999,0.03269204843072019
2006,4,0.0015086043953974897,0.002762293528871545,5.2761818514644353e-05,0.00021860784480887046,0.0002600104539748954,0.0005361516950836819,-0.00027614123744769875,1912,2006.75,0.0008122929325313807,0.05867025290000005,0.012231816483999847,0.024419183832000035,0.012350488879999899,-0.005075704599999953,0.03964255922595884
2007,1,0.0015457143953147877,0.002837711360901381,6.0166438750610055e-05,0.00023662086901005233,0.00027201688726207905,0.0005627196227428013,-0.00029070271644704736,2047,2007.0,0.0008534223391898487,0.0009864195920001873,0.014122959962999726,-0.016327727872000097,0.01255205189600006,0.01428854420600012,0.03901562577095175
2007,2,0.0016533988308251168,0.0028169352627875595,5.973058069538142e-05,0.0002318758177093118,0.00029688114167099116,0.0005915655703165542,-0.00029468442501297357,1926,2007.25,0.0008862499953295278,0.04738805550799996,-0.013385268127999894,-0.0305027820799999,0.012552112160000073,0.0002798274560000813,0.025067950511093808
2007,3,0.0017009645309818877,0.0030344468953964966,6.838320924690181e-05,0.0002876153681623632,0.0003365426634890372,0.0006520838055290753,-0.00031554114108674924,2097,2007.5,0.0009676249466158246,0.0031439003040001356,-0.049548148349999876,-0.07532242307199999,0.011443093760000078,0.07363593256400014,0.029795413858696093
2007,4,0.0016833927918781725,0.0030487802943132427,6.281755006922012e-05,0.00023132498308717857,0.0002998991130595293,0.0006116675366866635,-0.0003117684079372404,2167,2007.75,0.0009234359446239038,-0.039389854960000026,-0.02518226872899998,-0.04418680543299991,0.009328729376000044,0.13173471641599988,0.035455466711975296
2008,1,0.0018337918163440863,0.0032912839347219564,6.916540989247312e-05,0.0002647386746403122,0.00032633244387096774,0.0006946525346236559,-0.00036832011440860216,2325,2008.0,0.0010629726490322582,-0.10077693611799998,-0.007957192383999945,0.03571278720000026,0.00510851464100015,0.020769483649999865,0.063125437339109
2008,2,0.0019239635020352783,0.003298623792216344,6.922117593848937e-05,0.0002859595922411728,0.00039253863862505654,0.0007391919222071461,-0.0003466532957937585,2211,2008.25,0.0010858452180009047,-0.02417324250100017,0.023939497805000043,-0.04894215440000005,0.005309365508000097,0.16146317132300014,0.04399141182674957
2008,3,0.0019367963340056473,0.003358592487296417,7.822157966922146e-05,0.0002699182426483085,0.0003851034675272287,0.0007525023013311818,-0.000367398836224284,2478,2008.5,0.001119901137555466,-0.08653332087499988,0.04953254120000006,0.1284386566400002,0.00430615292500014,-0.08494869894400003,0.03672216772840147
2008,4,0.0017972764005281692,0.0033914129263125916,7.650718045774649e-05,0.00028873650140839706,0.0003267692662852113,0.0007329772900528169,-0.00040620801716549296,2270,2008.75,0.0011391853072183098,-0.2225659434399999,-0.01915285508800013,-0.07936622315500008,0.0011002399999999746,0.09832638557599993,0.08299442065486014
2009,1,0.0018913022129891084,0.0034091381930706076,6.754106857603872e-05,0.00023883728336932122,0.0003788169407018959,0.0007829488757563534,-0.00040413191770875356,2479,2009.0,0.001187080793465107,-0.09968285627399986,0.0007987594399998521,-0.14000545264000008,0.00030002000000006745,-0.10157323403199991,0.08303020671588866
2009,2,0.00210429351481149,0.0038997694628882537,8.241685457809695e-05,0.00029167563646029254,0.0003907669712746858,0.0008453789281867146,-0.00045461195017953325,2227,2009.25,0.0012999908783662478,0.16396678399399978,0.05513644388000016,0.028916451991999992,0.0002000099999999172,-0.3943711029100001,0.16213343849150927
2009,3,0.002019916656665238,0.003632140140852253,7.238512130304329e-05,0.00026224415348567775,0.00037714056322331763,0.0007983606283754822,-0.00042122006515216457,2332,2009.5,0.0012195806935276468,0.15869913873599995,0.030552327200000118,0.14159548860000015,0.00030003000099987354,-0.18317443617999996,0.19282353798681726
2009,4,0.002061058756953944,0.003683304916048671,7.931970770633836e-05,0.00033661587757553255,0.0004075127870497036,0.0008095790939352485,-0.00040206633150934794,2193,2009.75,0.0012116454254445966,0.05840372707999997,-0.010433753499999976,-0.04591304137099994,9.999999999998899e-05,0.05976402330000008,0.12332012294099087
2010,1,0.0020080645215638853,0.0036733131166278286,7.776559814590891e-05,0.0002803194640299999,0.00040753252599758165,0.0008096947492946392,-0.00040216224828698105,2480,2010.0,0.0012118569975816203,0.06221800405,0.030986540803999985,0.05787592818600018,9.999999999998899e-05,0.016677536310999885,0.058385535416197974
2010,2,0.002070337428183054,0.0036212484539737667,8.43762125056638e-05,0.00032032330031199073,0.0003899001952877209,0.0007862933824195741,-0.0003963931826008156,2206,2010.25,0.0011826865650203897,-0.11289873123999994,0.030972163731999958,-0.04342639801600001,0.00030003000099987354,0.0017393063999999736,0.1129742352039289
2010,3,0.002120908720152413,0.0037262007143597,9.358462701100763e-05,0.0003306784054996833,0.00040196756943268415,0.0008075302861981371,-0.0004055627320067739,2360,2010.5,0.001213093018204911,0.1153200489199997,0.00916547039600002,-0.05174265229999997,0.00030003000099987354,0.032258378255999975,0.0992337553426232
2010,4,0.002124288105773672,0.00369031877271203,8.105734919168591e-05,0.00030688284890514883,0.0005007774734411086,0.0008599429893764433,-0.00035916552794457276,2164,2010.75,0.001219108517321016,0.11608562210600004,0.05544121379200018,0.0010331218400001507,0.00030003000099987354,0.011029622599999955,0.10836114395096363
2011,1,0.0020074247112922003,0.003479349830051608,7.788103570042685e-05,0.0003191950626682056,0.00042441346798603025,0.0007670076010865347,-0.0003425941509507179,2576,2011.0,0.0011096017520372526,0.060037840679999954,0.01645123684999983,-0.0007587044319999903,0.00030003000099987354,0.050786754200000006,0.10825231562396859
2011,2,0.002092935008165019,0.0037331679508220213,8.900002277610658e-05,0.0003570526032653207,0.0003977147950150408,0.0008130996854318866,-0.0004153848951439622,2325,2011.25,0.0012284845805758489,-0.0017455115800001364,-0.01413837278200003,-0.044363702799999905,0.0,0.012596845400000056,0.05597898905717576
2011,3,0.002056079146098726,0.0036409863836804595,7.34710951433121e-05,0.0002894514944595796,0.00038437844944267513,0.0007651470059713377,-0.00038076854299363055,2510,2011.5,0.0011459155489649683,-0.15130658547999998,-0.07087592518399999,-0.04797123328899999,9.999999999998899e-05,-0.024688470400000107,0.11524477083499397
2011,4,0.00194332427589208,0.0034444812006356783,7.899427719756309e-05,0.00030827588464387096,0.0003273456583986075,0.0007231697532637076,-0.0003958240874673629,2297,2011.75,0.0011189938407310705,0.11862129567500013,0.022884687439999718,0.010725991951999969,0.0,0.043000699439999845,0.11605796483663007
2012,1,0.001926152391044776,0.0034020837942824716,7.091571791044776e-05,0.0002872916831284885,0.0003197748690298508,0.0007074897723880597,-0.0003877149317164179,2680,2012.0,0.0010952047041044776,0.13115638151999987,-0.004978220007999967,0.006699785186000007,0.0,-0.07047238179400006,0.1314417213802565
2012,2,0.0019840992113511224,0.0032803037500120508,7.576118678526049e-05,0.00030326505830164676,0.0003467597052096569,0.0007465128598051673,-0.0003997531401948327,2361,2012.25,0.001146266,-0.03348592889500002,0.004677528032000167,-0.01172104767499993,9.999999999998899e-05,0.09185172751999993,0.13445225992637388
2012,3,0.0017961132744167656,0.003041758803338794,6.873483511269277e-05,0.0002647177387855149,0.0002787019474100435,0.000652256904310004,-0.0003735549766706208,2528,2012.5,0.0010258118809806248,0.06171522801800022,-0.01834032100000005,0.02808204044400009,0.0002000099999999172,-0.005570483500000001,0.07501358828892495
2012,4,0.0017830427991573034,0.0031607483497686426,6.920541713483146e-05,0.00027492543765028307,0.00029369786844569284,0.0006610331858614233,-0.00036733527621722844,2134,2012.75,0.0010283684620786518,0.0017454600960000732,0.009960118999999823,0.062012425343999755,0.00030003000099987354,-0.02366736764499988,0.07221336145681619
