year,month,quarter,mean_expo,std_expo,mean_risk,std_risk,mean_sent,mean_pos,mean_neg,cc_balance,n_firms,Mkt_RF,SMB,HML,RF,Mom,period,mkt_vol_12m,expo_risk_ratio
2001,1,1,0.000297177,,0.0,,0.000297177,0.000297177,0.0,0.000297177,1,0.0325,0.0641,-0.050499999999999996,0.0054,-0.2535,2001.0,,0.0
2001,2,1,0.000297177,,0.0,,0.000297177,0.000297177,0.0,0.000297177,1,-0.1003,-0.006500000000000001,0.1223,0.0038,0.126,2001.0833333333333,,0.0
2001,3,1,0.000297177,,0.0,,0.000297177,0.000297177,0.0,0.000297177,1,-0.0725,0.0026,0.0647,0.0042,0.08650000000000001,2001.1666666666667,,0.0
2001,4,2,0.0010979368819444444,0.0012893952903398316,6.405768749999999e-05,0.00019112590151094171,0.0001906242222222222,0.00042181003472222217,-0.00023118581249999997,0.0006529958472222221,144,0.0793,0.005,-0.0464,0.0039000000000000003,-0.0801,2001.25,,0.05834368324724242
2001,5,2,0.0010979368819444444,0.0012893952903398316,6.405768749999999e-05,0.00019112590151094171,0.0001906242222222222,0.00042181003472222217,-0.00023118581249999997,0.0006529958472222221,144,0.0068000000000000005,0.0248,0.0338,0.0032,0.0215,2001.3333333333333,,0.05834368324724242
2001,6,2,0.0010979368819444444,0.0012893952903398316,6.405768749999999e-05,0.00019112590151094171,0.0001906242222222222,0.00042181003472222217,-0.00023118581249999997,0.0006529958472222221,144,-0.0194,0.0635,-0.0126,0.0028000000000000004,0.0062,2001.4166666666667,0.06660458442679953,0.05834368324724242
2001,7,3,0.0005465969696969697,0.0003593001355682221,2.7246666666666668e-05,0.00011593385591999936,0.0001713129090909091,0.0002993715757575758,-0.00012805866666666665,0.00042743024242424243,33,-0.0213,-0.0405,0.0495,0.003,0.0548,2001.5,0.06089717719628875,0.049847809615540126
2001,8,3,0.0005465969696969697,0.0003593001355682221,2.7246666666666668e-05,0.00011593385591999936,0.0001713129090909091,0.0002993715757575758,-0.00012805866666666665,0.00042743024242424243,33,-0.064,0.0219,0.0286,0.0031,0.0546,2001.5833333333333,0.059133286190725824,0.049847809615540126
2001,9,3,0.0005465969696969697,0.0003593001355682221,2.7246666666666668e-05,0.00011593385591999936,0.0001713129090909091,0.0002993715757575758,-0.00012805866666666665,0.00042743024242424243,33,-0.0924,-0.0623,0.0152,0.0028000000000000004,0.11380000000000001,2001.6666666666667,0.060367909061391584,0.049847809615540126
2001,10,4,0.0005868096071428572,0.0006032626029563982,1.690714285714286e-05,6.245439313001205e-05,0.0001427090357142857,0.00028575696428571434,-0.00014304789285714286,0.0004288048571428572,28,0.0248,0.07490000000000001,-0.0731,0.0022,-0.0832,2001.75,0.059307058789171314,0.02881196860130819
2001,11,4,0.0005868096071428572,0.0006032626029563982,1.690714285714286e-05,6.245439313001205e-05,0.0001427090357142857,0.00028575696428571434,-0.00014304789285714286,0.0004288048571428572,28,0.0753,-0.005699999999999999,0.0217,0.0017000000000000001,-0.0861,2001.8333333333333,0.06354364427126231,0.02881196860130819
2001,12,4,0.0005868096071428572,0.0006032626029563982,1.690714285714286e-05,6.245439313001205e-05,0.0001427090357142857,0.00028575696428571434,-0.00014304789285714286,0.0004288048571428572,28,0.0161,0.0472,0.0083,0.0015,0.0002,2001.9166666666667,0.06119601083750674,0.02881196860130819
2002,1,1,0.0011172779764705883,0.0018291279328666826,3.564574117647059e-05,0.00011876829615846392,0.00016184469411764706,0.0003594510117647059,-0.0001976063294117647,0.0005570573411764707,85,-0.0144,0.011699999999999999,0.0342,0.0014000000000000002,0.0365,2002.0,0.05962477113862436,0.03190409077843294
2002,2,1,0.0011172779764705883,0.0018291279328666826,3.564574117647059e-05,0.00011876829615846392,0.00016184469411764706,0.0003594510117647059,-0.0001976063294117647,0.0005570573411764707,85,-0.023,-0.0108,0.023399999999999997,0.0013,0.0683,2002.0833333333333,0.0534466450175908,0.03190409077843294
2002,3,1,0.0011172779764705883,0.0018291279328666826,3.564574117647059e-05,0.00011876829615846392,0.00016184469411764706,0.0003594510117647059,-0.0001976063294117647,0.0005570573411764707,85,0.0424,0.0409,0.0108,0.0013,-0.0169,2002.1666666666667,0.0512288359848595,0.03190409077843294
2002,4,2,0.0012211508573351279,0.001904887915768833,4.579480753701211e-05,0.0002104794216290927,0.00014851453432032302,0.00040764834051144015,-0.0002591337456258412,0.0006667820861372814,743,-0.0521,0.0582,0.0401,0.0015,0.077,2002.25,0.04678655595555007,0.037501348430294325
2002,5,2,0.0012211508573351279,0.001904887915768833,4.579480753701211e-05,0.0002104794216290927,0.00014851453432032302,0.00040764834051144015,-0.0002591337456258412,0.0006667820861372814,743,-0.013600000000000001,-0.0327,0.0152,0.0014000000000000002,0.030899999999999997,2002.3333333333333,0.04648632252413802,0.037501348430294325
2002,6,2,0.0012211508573351279,0.001904887915768833,4.579480753701211e-05,0.0002104794216290927,0.00014851453432032302,0.00040764834051144015,-0.0002591337456258412,0.0006667820861372814,743,-0.0723,0.0408,0.0037,0.0013,0.062400000000000004,2002.4166666666667,0.04967169412220301,0.037501348430294325
2002,7,3,0.0010464100574282147,0.001692255828198354,3.3215254681647936e-05,0.00013505745418344205,9.38435617977528e-05,0.0003158479213483146,-0.00022200431710362047,0.0005378522384519351,801,-0.0819,-0.0525,-0.0351,0.0015,0.0363,2002.5,0.05319218087332579,0.03174209887572364
2002,8,3,0.0010464100574282147,0.001692255828198354,3.3215254681647936e-05,0.00013505745418344205,9.38435617977528e-05,0.0003158479213483146,-0.00022200431710362047,0.0005378522384519351,801,0.005,-0.027999999999999997,0.0301,0.0014000000000000002,0.0187,2002.5833333333333,0.05186467458393015,0.03174209887572364
2002,9,3,0.0010464100574282147,0.001692255828198354,3.3215254681647936e-05,0.00013505745418344205,9.38435617977528e-05,0.0003158479213483146,-0.00022200431710362047,0.0005378522384519351,801,-0.10339999999999999,0.0242,0.0126,0.0014000000000000002,0.09179999999999999,2002.6666666666667,0.05342107389751386,0.03174209887572364
2002,10,4,0.0010684793005235602,0.0018406384062099946,4.237984188481676e-05,0.0002045030514514261,0.0001214272942408377,0.00036383126073298425,-0.00024240392670157068,0.000606235187434555,955,0.0784,-0.034,-0.037599999999999995,0.0014000000000000002,-0.0558,2002.75,0.059118362911478976,0.0396636957755577
2002,11,4,0.0010684793005235602,0.0018406384062099946,4.237984188481676e-05,0.0002045030514514261,0.0001214272942408377,0.00036383126073298425,-0.00024240392670157068,0.000606235187434555,955,0.0596,0.0326,-0.0116,0.0012,-0.1643,2002.8333333333333,0.05715276710605347,0.0396636957755577
2002,12,4,0.0010684793005235602,0.0018406384062099946,4.237984188481676e-05,0.0002045030514514261,0.0001214272942408377,0.00036383126073298425,-0.00024240392670157068,0.000606235187434555,955,-0.0576,-0.0004,0.021099999999999997,0.0011,0.09720000000000001,2002.9166666666667,0.05766772310295238,0.0396636957755577
2003,1,1,0.001136101511627907,0.0019982871021550163,4.8301991279069765e-05,0.0001585509967937077,9.099344864341085e-05,0.0003867553343023256,-0.0002957617761627907,0.0006825171104651163,1032,-0.025699999999999997,0.0134,-0.0079,0.001,0.0159,2003.0,0.0576707661881414,0.04251555563754407
2003,2,1,0.001136101511627907,0.0019982871021550163,4.8301991279069765e-05,0.0001585509967937077,9.099344864341085e-05,0.0003867553343023256,-0.0002957617761627907,0.0006825171104651163,1032,-0.018799999999999997,-0.0044,-0.013600000000000001,0.0009,0.0121,2003.0833333333333,0.0576659660143107,0.04251555563754407
2003,3,1,0.001136101511627907,0.0019982871021550163,4.8301991279069765e-05,0.0001585509967937077,9.099344864341085e-05,0.0003867553343023256,-0.0002957617761627907,0.0006825171104651163,1032,0.0109,0.011699999999999999,-0.021099999999999997,0.001,0.013999999999999999,2003.1666666666667,0.05523286447561649,0.04251555563754407
