year,quarter,Mkt_RF,SMB,HML,RF
1926,3,0.060075999248,-0.04971141351999997,0.013796054705000005,0.007016322649999962
1926,4,0.01785639880400014,-0.003196711078000014,0.0026512099879998363,0.009127587776000201
1927,1,0.04263680081000021,-0.020157950352000187,0.048678710912000156,0.008121819499999683
1927,2,0.03424109362999994,0.024659698295000254,0.03666923360000007,0.008121819499999683
1927,3,0.14612590409800008,-0.07470287444000001,-0.054783569784999986,0.00792059763999986
1927,4,0.04081053102799981,0.058941250531999945,-0.05615504051199993,0.006815381550000055
1928,1,0.06341825740699991,0.016656767760000024,-0.024405214384000007,0.008725093924999872
1928,2,0.006487045999999941,0.029303930720000038,0.004329269999999941,0.008523801824000143
1928,3,0.1044344061889999,-0.010531901440000047,-0.018408293832000044,0.009127547647999945
1928,4,0.13737981368000018,-0.005542948575999906,-0.0006906710799998717,0.008520329347999844
1929,1,0.034175706740000145,-0.0839879980049999,0.01996338043599999,0.010436081616000292
1929,2,0.042108467580000086,-0.08499991859199996,-0.033275826735999825,0.013257522368000263
1929,3,0.06827007375999994,-0.12080126844999994,0.021848555024000182,0.010838796200000056
1929,4,-0.294655604848,-0.09649195960000012,0.12812610922000012,0.012047792973999938
1930,1,0.15925192724999992,0.07297906270800003,-0.004551426520000179,0.007919614700000022
1930,2,-0.1916487402399999,-0.05944958865000005,0.012661637120000124,0.007418164741999744
1930,3,-0.08945425316000022,-0.04775745551199995,-0.07253919526999997,0.00510818395999979
1930,4,-0.185050152832,-0.025202322360000085,-0.102720240001,0.0036042516379999334
1931,1,0.10329064999999993,0.10068938934500005,0.0648417401600001,0.003203070779999928
1931,2,-0.11090167299999998,-0.04269347771600007,0.0012031009099999768,0.0025020805759998765
1931,3,-0.33198396152,-0.0163465788160001,-0.10822947760000001,0.0012004500539999352
1931,4,-0.15146071332799993,0.03201943183999978,-0.11216813816800009,0.0039049420400001367
1932,1,-0.0793433615500001,0.03957421281700024,0.05748031915999996,0.006212658464000098
1932,2,-0.35272773103800004,0.05599869612000008,0.036330183240000036,0.001901000131999897
1932,3,0.778197746592,0.06257825831000008,0.68464180192,0.0008002100180000138
1932,4,-0.14643729675999995,-0.09040383049,-0.2813916987220001,0.0005000800039998143
1933,1,-0.11615327637600015,0.01611709836000008,0.106789799912,0.00019988998800002378
1933,2,0.9063794777299998,0.5218170030799998,0.4017348517599999,0.0016006800799999166
1933,3,-0.09542646135999999,-0.06709545236800007,-0.06014721115000021,0.0007001600120000173
1933,4,0.026106404455999987,-0.060987089475999956,-0.08275109812299997,0.0005000800040000364
1934,1,0.09872536365999984,0.21840819072499995,0.15295761811999986,0.0009002400199999983
1934,2,-0.06451779246600009,0.0017896549339999623,-0.12083165145000008,0.00030003000099987354
